Error,Predicton,Target,Word,Correction,ErrorType
মড়া,ণষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষ,ম__া,মরা,0,Homonym Error
সাহিত্যে,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,সা___্__,সাক্ষর,0,Homonym Error
আভরণ,ণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণ,আ_রণ,আবরণ,0,Homonym Error
টেক্কা,ণণণষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষ,টেক_কা,টেকা,0,Homonym Error
জীব,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,জ_ব,জিব,0,Homonym Error
আভাস,ষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষ,আ_াস,আবাস,0,Homonym Error
বাড়ি,ষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষ,বা__ি,বারি,0,Homonym Error
আধি,ষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষ,আ_ি,আদি,0,Homonym Error
ভাসন,ষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষ,ভা__,ভাষণ,0,Homonym Error
অপরিণীত,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,অপরিণ__,অপরিণত,0,Homonym Error
অনিষ্ঠ,ঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঐঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋ,অনিষ্_,অনিষ্ট,0,Homonym Error
স্বীকার,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,____কার,শিকার,0,Homonym Error
নীড়,ষোোোষষষষষষষোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোো,নী__,নীর,0,Homonym Error
ছাড়,োোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোো,ছা__,ছার,0,Homonym Error
চাস,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,চা_,চাষ,0,Homonym Error
পলক,ণণণণণণণণণণণণণণণণণণণণণণঐণঐণঐণঐণঐণঐঋঐঋঐঋঐঋঐঋঐঋঐঋঐঋঐ,প_ক,পালক,0,Homonym Error
কাঁটা,ইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইইই,কা_টা,কাটা,0,Homonym Error
গাঁ,ঔইইইইঔইঔইঔইঔইঔইঔইঔইঔইঔইঔইঔইঔইঔইঔইঔইঔইঔইঔইঔইঔইঔইঔই,গা_,গা,0,Homonym Error
অন্ত্য,ঔঐঐঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঐঋঐঋঋঐঋঋঋঋঋঋঐঋঋঐঋঋঋ,অন্_্_,অন্ত,0,Homonym Error
অবগত,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,অ_গত,অপগত,0,Homonym Error
আসা,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,আ_া,আশা,0,Homonym Error
চুত,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,চ_ত,চ্যুত,0,Homonym Error
হূতি,ঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋ,হ_তি,হুতি,0,Homonym Error
প্রাসাদ,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,প্র_সাদ,প্রসাদ,0,Homonym Error
উপাধান,ঐষঐষঐষঐষঐষঐষঐষঐষঐষঐষঐষঐষঐষঐষঐষঐঐঐষঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,উপা_ান,উপাদান,0,Homonym Error
প্রধান,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,প্র_ান,প্রদান,0,Homonym Error
রোচক,ঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋ,র_চক,রচক,0,Homonym Error
মণ,ণণণণণণণণণণণণণণণণঙঙঙঙঙঙঙঙঙঙঙঙঙঙঙঙঙঙঙঙঙঙঙঙঙঙঙঙঙঙঙঙঙ,ম_,মন,0,Homonym Error
অন্য,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,অন্_,অন্ন,0,Homonym Error
মড়ক,ষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষ,ম_়ক,মোড়ক,0,Homonym Error
অর্ঘ্য,ণণণণঐণণণণণণণঐণণণণঐণঐণণণণণণঐণণঐণণণণণণণঐণণণণঐণণঐণণঐ,অর্_্_,অর্ঘ,0,Homonym Error
গোলোক,ঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋ,গো__ক,গোলক,0,Homonym Error
অশিত,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,অ_িত,অসিত,0,Homonym Error
ঈশ,ণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণ,_শ,ইশ,0,Homonym Error
অজাগর,ণছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছ,অজ_গর,অজগর,0,Homonym Error
কাঁদা,ইোইইইোোোইইইইইইইইোোোোোোোইইইইইইইইইইইোোোোোোোোইইইইইইই,কা_দা,কাদা,0,Homonym Error
উদ্ধত,োোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোো,উদ্_ত,উদ্যত,0,Homonym Error
দীননাথ,ষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষ,দ_ননাথ,দিননাথ,0,Homonym Error
নিরস্ত,ঐঐঐঐঐঐছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছ,নিরস্ত,নিরস্ত্র,0,Homonym Error
আহূতি,ঐছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছ,আহ_তি,আহুতি,0,Homonym Error
কুল,ঔছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছ,ক_ল,কূল,0,Homonym Error
লক্ষ্মণ,ঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔ,লক্_্_ণ,লক্ষণ,0,Homonym Error
অবোধ্য,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,অব_ধ্য,অবধ্য,0,Homonym Error
মেধ,ষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষ,মে_,মেদ,0,Homonym Error
লক্ষ্য,ণঐঐঐঔঐঔঐঔঔঔঐঔঔঔঔঔঔঐঔঐঔঐঔঔঔঔঔঔঔঐঐঔঔঔঔঔঔঔঔঔঐঔঐঔঐঔঔঔ,লক্_্_,লক্ষ,0,Homonym Error
খাটো,োোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোঋঋষঋষঋষঋষঋষঋষঋ,খাট_,খাট,0,Homonym Error
অভিনীত,ঋঐঋঐঋঋঋঋঐঋঐঋঐঋঐঋঐঋঋঐঋঋঐঋঋঐঋঋঋঋঐঋঐঋঋঐঋঐঋঐঋঋঐঋঋঐঋঋঋ,অ_িনীত,অবিনীত,0,Homonym Error
ভাড়া,ষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষ,ভা__া,ভারা,0,Homonym Error
অশ্ম,ণঐণঐঐণঐণঐণঐঐঐঐঐঐণঐঐঐণঐণঐঐণঐণঐণঐঐঐণঐঐঐঐঐঐণঐণঐণঐঐঐণ,অশ্_,অশ্ব,0,Homonym Error
ধড়া,ষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষ,ধ__া,ধরা,0,Homonym Error
ঢোল,ঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋ,_োল,ডোল,0,Homonym Error
জ্বর,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,জ___,জড়,0,Homonym Error
বীণা,ষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষ,ব__া,বিনা,0,Homonym Error
সিত,ঋঋঋঋঋঋঋঋঐঋঋঋঋঋঐঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঐষঋঋঐষঋষঋঋঐষঋঐষঋঐ,__ত,শীত,0,Homonym Error
ধ্বনি,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,ধ__ন_,ধনী,0,Homonym Error
নিশিত,ঐঋঐঋঐঋঋঋঐঋঋঐঋঐঋঋঐঋঐঋঋঋঋঐঋঋঋঋঋঋঐঋঐঋঋঐঋঐঋঐঋঋঋঋঋঋঐঋঋ,নিশ__,নিশীথ,0,Homonym Error
স্ব:হিত,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,স___হিত,সহিত,0,Homonym Error
পরভৃৎ,ছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছ,পরভৃ_,পরভৃত,0,Homonym Error
নিরাস,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,নিরা_,নিরাশ,0,Homonym Error
কৃত্ত‍্য,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,কৃত্__্য,কৃত্য,0,Homonym Error
বিশ,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,বি_,বিষ,0,Homonym Error
অণু,ছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছ,অ_ু,অনু,0,Homonym Error
সারা,ঐষঐষঐষঐষঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,সা_া,সাড়া,0,Homonym Error
কপোল,ঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋ,কপ_ল,কপাল,0,Homonym Error
করী,ণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণ,কর_,করি,0,Homonym Error
যাম,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,_াম,জাম,0,Homonym Error
অভিরাম,ঐঋঋঐঋঐঋঋঋঋঋঋঋঋঋঋঋঋঋঐঋঋঋঋঋঋঋঋঋঋঐঋঐঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋ,অ_িরাম,অবিরাম,0,Homonym Error
স্বর্গ,ছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছ,স__র্গ,সর্গ,0,Homonym Error
কূট,োোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোোো,ক_ট,কুট,0,Homonym Error
সক্ত,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,_ক্ত,শক্ত,0,Homonym Error
অভ্যাশ,ঐঐণঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,অভ্যা_,অভ্যাস,0,Homonym Error
কথক,ষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষ,ক_ক,কতক,0,Homonym Error
যব,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,_ব,জব,0,Homonym Error
জ্বল,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,জ__ল,জল,0,Homonym Error
হাস,ষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষ,হ_স,হাঁস,0,Homonym Error
চাকরি,ষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষ,চা__ি,চাখড়ি,0,Homonym Error
ধাত্রী,ণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণ,ধাত___,ধাতৃ,0,Homonym Error
আত্ত,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,আ_্ত,আর্ত,0,Homonym Error
গিরিশ,ছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছ,গির_শ,গিরীশ,0,Homonym Error
গাধা,ষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষ,গা_া,গাদা,0,Homonym Error
বর্শা,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,বর্_া,বর্ষা,0,Homonym Error
কৃত,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঙভভভভভভভভ,ক_ত,ক্রীত,0,Homonym Error
ঘোরা,ণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণণোোোোোোোোোো,ঘো_া,ঘোড়া,0,Homonym Error
অবচয়,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,অ_চয়,অপচয়,0,Homonym Error
সব,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,_ব,শব,0,Homonym Error
কূজন,ণঐণণঐণোঐষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষ,ক_জন,কুজন,0,Homonym Error
অসন,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,অ_ন,অশন,0,Homonym Error
পড়া,ষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষ,প__া,পরা,0,Homonym Error
আসার,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,আ_া_,আষাঢ়,0,Homonym Error
হার,ণছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছ,হা_,হাড়,0,Homonym Error
মুখ্য,ঐঐঐঐঐঐঐঐঐঐঐঐছছছছছছছছছছছছছছছছঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,ম__্_,মূর্খ,0,Homonym Error
ক্ষুর,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,___ুর,খুর,0,Homonym Error
অন্যোন্য,ঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔ,অন্য_ন্য,অন্যান্য,0,Homonym Error
অসিলতা,ঋঐঋঐঋঐঋঐঋঐঋঐঋঋঐঋঐঋঐঋঐঋঐঋঐঋঐঋঐঋঐঋঐঋঐঋঐঋঐঋঐঋঐঋঐঋঐঋঐ,অ__লতা,অশীলতা,0,Homonym Error
যজ্ঞ,ঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔ,য_্_,যোগ্য,0,Homonym Error
লুব্ধ,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,ল__্ধ,লব্ধ,0,Homonym Error
কোটি,ণষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষ,ক_টি,কটি,0,Homonym Error
বলি,ষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষ,বল_,বলী,0,Homonym Error
ছাঁদ,ঔছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছ,ছা_দ,ছাদ,0,Homonym Error
মুক,ঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔঔ,মু_,মুখ,0,Homonym Error
পারিষদ,ঐছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছ,প__িষদ,পরিষদ,0,Homonym Error
টীকা,ষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষ,ট_কা,টিকা,0,Homonym Error
দ্বীপ,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,দ__ীপ,দীপ,0,Homonym Error
জ্বাল,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,জ__াল,জাল,0,Homonym Error
কালী,ষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষ,কাল_,কালি,0,Homonym Error
অংস,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,অং_,অংশ,0,Homonym Error
সজ্জা,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,__্_া,শয্যা,0,Homonym Error
অন্যপুষ্ট,ঐঐঐঐঐঐঐঐঐঐঔঐঐঐঐঐঐঐঐঐঐঐঐঔঐঐঐঔঐঐঐঐঐঔঐঐঐঔঐঐঐঐঐঔঐঐঐঐঐ,অন্_পুষ্ট,অন্নপুষ্ট,0,Homonym Error
অনীল,ঋঋঋঐঐঋঋঋঐঋঋঐঐঋঋঐঋঋঋঐঋঋঐঋঋঋঐঋঐঋঐঋঐঋঋঐঋঋঐঋঐঋঐঋঋঐঋঋঐ,অন_ল,অনিল,0,Homonym Error
অবিমৃষ্য,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,অবিম__্_,অবিমিশ্র,0,Homonym Error
বিক্রীত,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,বিক___ত,বিকৃত,0,Homonym Error
রাঁধা,ণঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,রা_ধা,রাধা,0,Homonym Error
দ্বেষ,ঐষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষ,দ__ে_,দেশ,0,Homonym Error
যতি,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,_তি,জ্যোতি,0,Homonym Error
ঈতি,ষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষ,_তি,ইতি,0,Homonym Error
বাণ,ষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষ,বা_,বান,0,Homonym Error
দীন,ষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষ,দ_ন,দিন,0,Homonym Error
কোন,ঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋঋ,কো_,কোণ,0,Homonym Error
নীতি,ঋছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছছ,ন_তি,নিতি,0,Homonym Error
মাষ,ষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষষ,মা_,মাস,0,Homonym Error
অসক্ত,ঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,অ_ক্ত,অশক্ত,0,Homonym Error
নৃত্য,ঐঐঐঐঐঘঐঐঘঐঐঐঘঐঐঐঐঐঐঐঘঐঐঐঐঐঐঘঐঐঐঐঐঘঐঐঐঐঐঐঐঐঐঐঐঐঐঐঘ,ন_ত্য,নিত্য,0,Homonym Error
কাঁখ,ঔঐঐঐঐঋঐঋঐঋঐঋছছছছছছছছছছঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐঐ,কা__,কাক,0,Homonym Error
